id,data,categoria,produto,quantidade,preco_unitario,regiao,cliente_id
126,2024-01-17,roupas,Jaqueta,5,708.93,Sudeste,5
142,2024-12-29,roupas,Jaqueta,9,33.4,Sudeste,6
75,2024-11-08,eletronicos,Monitor,19,760.99,Sul,13
98,2024-12-12,livros,Ficcao,4,94.48,Nordeste,7
48,2024-05-15,roupas,Jaqueta,8,457.05,Centro-Oeste,19
52,2024-06-24,roupas,Jaqueta,9,211.8,Norte,6
36,2024-08-24,roupas,Camiseta,11,172.93,Sul,7
146,2024-03-10,eletronicos,Teclado,7,353.08,Sul,18
1032,2024-01-08,livros,Python,4,340.75,Sul,15
119,2024-02-03,livros,Ficcao,2,585.48,Norte,10
143,2024-04-25,eletronicos,Monitor,2,654.76,Nordeste,32
45,2024-09-24,alimentos,Cafe,2,156.63,Centro-Oeste,16
107,2024-11-01,alimentos,Acucar,1,526.29,Nordeste,6
70,2024-03-30,servicos,Design,19,605.98,Norte,20
1014,2024-07-29,roupas,Calca,10,697.84,Sul,12
105,2024-08-25,servicos,Design,7,349.67,Sudeste,21
2,2024-02-22,servicos,Consultoria,1,307.31,Norte,6
23,2024-09-28,eletronicos,Webcam,6,842.55,Norte,24
