id,cliente_id,categoria,valor,data
80,6,roupas,831.05,2024-01-23
81,1,alimentos,773.41,2024-11-22
82,17,livros,743.82,2024-10-09
83,46,roupas,565.3,2024-02-27
84,5,livros,550.13,2024-07-08
85,38,servicos,156.61,2024-03-06
86,3,alimentos,371.01,2024-01-21
87,23,livros,685.25,2024-12-07
88,7,alimentos,782.32,2024-07-27
89,40,livros,926.51,2024-05-01
90,11,livros,882.6,2024-01-13
91,12,alimentos,784.56,2024-07-29
92,43,livros,274.14,2024-12-25
93,7,roupas,873.45,2024-08-28
94,15,livros,818.42,2024-08-23
95,23,alimentos,822.33,2024-04-26
96,15,eletronicos,663.43,2024-07-23
97,22,alimentos,865.71,2024-05-22
98,23,servicos,405.68,2024-10-01
99,22,eletronicos,124.19,2024-05-13
100,12,servicos,962.91,2024-05-15
101,3,eletronicos,600.61,2024-06-25
102,47,alimentos,442.03,2024-09-18
103,8,roupas,900.51,2024-04-07
104,17,eletronicos,711.7,2024-01-01
105,34,servicos,689.99,2024-12-09
106,13,alimentos,436.98,2024-12-06
107,22,servicos,320.78,2024-03-04
108,47,alimentos,512.05,2024-12-07
109,27,alimentos,408.38,2024-05-31
110,36,livros,199.92,2024-12-06
111,25,livros,619.36,2024-06-03
112,26,servicos,835.39,2024-06-04
113,19,livros,435.59,2024-10-23
114,39,alimentos,470.34,2024-08-14
115,44,livros,516.06,2024-03-27
116,43,eletronicos,290.95,2024-12-05
117,41,servicos,341.84,2024-04-30
118,44,alimentos,232.39,2024-04-11
119,10,eletronicos,55.75,2024-08-31
120,40,eletronicos,460.86,2024-11-18
121,37,livros,721.16,2024-07-15
122,32,roupas,251.54,2024-12-01
123,45,eletronicos,893.73,2024-02-24
124,50,roupas,226.65,2024-12-22
125,34,roupas,59.72,2024-05-07
126,8,roupas,142.01,2024-08-25
127,43,servicos,988.01,2024-10-31
128,21,roupas,616.53,2024-09-15
129,28,servicos,451.45,2024-03-22
130,48,roupas,455.57,2024-05-06
131,41,alimentos,768.16,2024-09-23
132,32,livros,281.85,2024-02-09
133,46,alimentos,242.15,2024-06-20
134,21,servicos,89.77,2024-03-18
135,15,roupas,697.01,2024-12-27
136,14,eletronicos,420.72,2024-06-18
137,35,roupas,421.62,2024-04-15
138,27,roupas,905.79,2024-10-26
139,45,eletronicos,858.16,2024-10-21
140,25,roupas,15.84,2024-06-29
141,20,roupas,854.91,2024-08-02
142,35,servicos,801.87,2024-04-22
143,32,livros,280.21,2024-09-05
144,2,roupas,342.77,2024-12-13
145,26,livros,842.1,2024-03-06
146,40,servicos,36.7,2024-07-20
147,38,servicos,666.37,2024-02-12
148,42,roupas,144.34,2024-08-24
149,12,eletronicos,267.55,2024-06-16
150,14,roupas,333.58,2024-07-13
151,18,roupas,259.75,2024-02-11
152,31,eletronicos,751.53,2024-01-27
153,23,livros,653.64,2024-11-29
154,3,eletronicos,950.12,2024-04-12
155,2,servicos,160.86,2024-03-05
156,31,eletronicos,568.33,2024-04-21
157,30,alimentos,769.23,2024-03-26
158,39,servicos,964.1,2024-02-28
159,50,livros,965.07,2024-02-25
160,38,eletronicos,929.6,2024-10-21
161,44,roupas,402.69,2024-04-11
162,5,servicos,693.71,2024-11-17
163,16,eletronicos,700.22,2024-06-03
164,44,servicos,807.47,2024-10-16
165,3,alimentos,537.42,2024-12-04
166,24,eletronicos,510.9,2024-06-23
167,1,roupas,824.11,2024-02-24
168,28,alimentos,639.23,2024-08-23
169,46,livros,441.13,2024-09-24
170,42,alimentos,619.75,2024-10-02
171,50,roupas,470.23,2024-10-30
172,18,alimentos,853.2,2024-02-14
173,18,roupas,251.42,2024-08-25
174,37,servicos,671.51,2024-06-21
175,2,roupas,852.44,2024-04-03
176,32,livros,361.28,2024-05-12
177,22,alimentos,881.52,2024-12-25
178,18,servicos,20.05,2024-04-07
179,6,livros,722.87,2024-09-07
180,36,livros,693.7,2024-11-26
181,46,roupas,453.69,2024-01-09
182,6,alimentos,229.38,2024-12-20
183,16,alimentos,667.32,2024-07-07
184,31,servicos,535.61,2024-08-05
185,48,servicos,337.48,2024-12-25
186,30,alimentos,313.56,2024-04-28
187,8,livros,322.39,2024-10-01
188,49,livros,199.63,2024-09-04
189,18,servicos,976.84,2024-09-25
190,39,alimentos,980.71,2024-04-09
191,19,livros,367.27,2024-06-03
192,1,servicos,135.32,2024-01-24
193,4,servicos,299.22,2024-03-05
194,41,roupas,111.56,2024-01-07
195,37,alimentos,474.7,2024-08-13
196,22,livros,965.84,2024-05-09
197,31,eletronicos,823.89,2024-07-24
198,32,eletronicos,581.25,2024-12-17
199,4,livros,157.71,2024-10-15
200,20,eletronicos,993.98,2024-03-01
201,36,roupas,610.25,2024-11-12
202,15,servicos,386.57,2024-08-14
203,20,servicos,990.13,2024-06-05
204,37,servicos,69.63,2024-02-20
205,49,livros,629.26,2024-05-15
206,43,eletronicos,165.49,2024-03-29
207,36,eletronicos,164.97,2024-07-28
208,29,servicos,475.21,2024-01-17
209,15,alimentos,709.89,2024-12-25
210,30,eletronicos,690.51,2024-05-15
211,41,servicos,664.57,2024-04-11
212,28,eletronicos,549.12,2024-11-27
213,10,alimentos,828.36,2024-02-06
214,4,livros,794.7,2024-10-31
215,48,servicos,921.98,2024-08-12
216,8,roupas,691.79,2024-12-24
217,26,alimentos,505.47,2024-09-09
218,29,eletronicos,602.06,2024-08-09
219,48,alimentos,607.68,2024-01-14
220,6,livros,962.29,2024-10-21
221,38,eletronicos,999.58,2024-12-10
222,18,servicos,49.83,2024-03-30
223,31,servicos,654.99,2024-05-22
224,12,servicos,441.53,2024-09-08
225,6,roupas,354.48,2024-06-19
226,21,eletronicos,859.16,2024-06-17
227,27,roupas,295.34,2024-07-24
228,49,servicos,46.33,2024-02-15
229,21,alimentos,330.04,2024-07-25
230,33,eletronicos,661.08,2024-10-04
231,30,roupas,63.66,2024-09-22
232,24,servicos,758.88,2024-11-16
233,29,eletronicos,211.52,2024-10-08
234,9,alimentos,443.73,2024-12-23
235,32,eletronicos,38.58,2024-11-18
236,39,livros,712.68,2024-06-08
237,36,eletronicos,556.73,2024-02-17
238,15,eletronicos,466.83,2024-03-01
239,42,livros,503.39,2024-05-29
240,33,alimentos,421.34,2024-09-04
241,31,livros,462.22,2024-03-15
242,25,livros,922.65,2024-09-17
243,48,livros,865.39,2024-05-21
244,50,roupas,346.48,2024-09-16
245,18,eletronicos,290.01,2024-06-01
246,38,servicos,998.91,2024-09-07
247,10,roupas,543.19,2024-06-25
248,22,servicos,765.24,2024-07-12
249,30,alimentos,870.91,2024-12-23
250,16,servicos,389.14,2024-07-29
251,3,alimentos,747.26,2024-12-27
252,25,roupas,988.53,2024-11-29
253,10,roupas,965.18,2024-03-05
254,33,servicos,338.67,2024-02-21
255,29,eletronicos,530.69,2024-08-21
256,1,livros,415.88,2024-12-01
257,10,eletronicos,474.8,2024-05-15
258,22,servicos,695.78,2024-11-28
259,6,alimentos,853.82,2024-09-30
260,25,alimentos,630.53,2024-09-06
261,35,eletronicos,621.28,2024-04-30
262,41,alimentos,997.45,2024-02-16
263,28,eletronicos,762.77,2024-12-26
264,7,roupas,174.7,2024-06-02
265,2,eletronicos,331.13,2024-01-29
266,19,alimentos,381.09,2024-03-15
267,16,servicos,417.93,2024-12-15
268,12,livros,183.32,2024-11-08
269,25,servicos,686.3,2024-09-11
270,38,livros,239.87,2024-11-22
271,17,roupas,262.77,2024-01-05
272,30,alimentos,680.83,2024-03-21
273,5,roupas,945.78,2024-10-27
274,20,roupas,693.41,2024-08-21
275,20,livros,999.38,2024-09-04
276,7,livros,387.55,2024-07-02
277,37,alimentos,992.77,2024-05-31
278,2,roupas,281.74,2024-10-16
279,44,eletronicos,911.51,2024-09-11
280,19,livros,610.99,2024-06-29
281,15,livros,624.68,2024-12-13
282,49,livros,631.97,2024-11-17
283,42,eletronicos,315.84,2024-08-13
284,3,servicos,371.21,2024-03-08
285,6,alimentos,333.45,2024-07-31
286,12,livros,140.84,2024-10-03
287,24,servicos,506.78,2024-05-19
288,11,alimentos,914.91,2024-09-03
289,19,alimentos,806.19,2024-08-27
290,5,livros,756.61,2024-04-25
291,44,roupas,967.6,2024-10-12
292,24,eletronicos,792.78,2024-01-08
293,17,servicos,132.35,2024-07-07
294,44,alimentos,588.71,2024-11-22
295,24,eletronicos,678.09,2024-08-29
296,2,servicos,885.39,2024-10-14
297,21,servicos,229.15,2024-02-02
298,41,roupas,910.29,2024-06-03
299,42,roupas,125.51,2024-01-24
300,3,alimentos,995.97,2024-02-29
301,7,livros,888.39,2024-03-10
302,25,roupas,377.3,2024-12-22
303,35,roupas,591.47,2024-03-20
304,27,eletronicos,835.36,2024-11-11
305,27,alimentos,42.39,2024-07-08
306,14,roupas,450.25,2024-04-30
307,24,eletronicos,981.12,2024-07-07
308,35,alimentos,69.94,2024-05-21
309,13,eletronicos,949.52,2024-08-20
310,6,livros,645.29,2024-11-01
311,2,eletronicos,788.93,2024-05-04
312,9,servicos,213.15,2024-10-10
313,14,servicos,223.79,2024-04-29
314,22,livros,790.76,2024-11-01
315,1,alimentos,859.82,2024-03-15
316,9,servicos,258.15,2024-03-30
317,8,eletronicos,140.49,2024-07-02
318,16,servicos,330.53,2024-03-30
319,17,eletronicos,135.49,2024-08-03
320,34,eletronicos,748.21,2024-08-31
321,29,alimentos,518.11,2024-02-25
322,29,servicos,229.33,2024-11-10
323,3,servicos,308.61,2024-11-25
324,2,eletronicos,998.6,2024-07-24
325,28,eletronicos,495.37,2024-08-15
326,5,eletronicos,328.89,2024-03-16
327,5,livros,282.27,2024-11-20
328,38,servicos,715.03,2024-07-14
329,39,servicos,301.95,2024-09-15
330,39,roupas,108.19,2024-12-25
331,8,servicos,723.63,2024-04-20
332,28,roupas,889.21,2024-07-30
333,22,roupas,404.74,2024-02-18
334,21,roupas,319.4,2024-05-10
335,24,livros,689.95,2024-08-30
336,5,eletronicos,833.45,2024-02-17
337,28,eletronicos,747.14,2024-07-09
338,9,servicos,69.38,2024-10-14
339,36,alimentos,673.31,2024-07-29
340,23,roupas,869.41,2024-01-27
341,19,servicos,319.32,2024-02-23
342,37,servicos,220.61,2024-12-02
343,31,livros,848.8,2024-06-28
344,36,alimentos,123.74,2024-05-22
345,37,livros,809.15,2024-10-14
346,50,servicos,617.44,2024-11-25
347,36,eletronicos,612.9,2024-12-02
348,45,alimentos,38.66,2024-05-19
349,45,alimentos,922.32,2024-06-28
350,1,livros,871.16,2024-10-16
351,43,roupas,78.89,2024-11-20
352,2,eletronicos,748.65,2024-04-20
353,25,roupas,459.11,2024-03-21
354,24,alimentos,724.38,2024-10-17
355,39,eletronicos,884.51,2024-03-20
356,11,servicos,59.26,2024-02-11
357,18,roupas,665.32,2024-09-05
358,39,roupas,420.04,2024-04-20
359,49,servicos,122.68,2024-08-08
360,8,alimentos,681.44,2024-10-30
361,32,servicos,670.46,2024-01-24
362,15,roupas,984.6,2024-01-29
363,1,livros,308.41,2024-04-18
364,50,livros,766.52,2024-05-28
365,21,eletronicos,17.65,2024-08-08
366,12,livros,386.41,2024-12-26
367,15,servicos,563.14,2024-12-08
368,23,eletronicos,403.1,2024-01-22
369,28,eletronicos,465.16,2024-02-09
370,21,servicos,434.99,2024-07-26
371,46,roupas,296.62,2024-07-26
372,2,alimentos,180.15,2024-11-12
373,30,alimentos,97.25,2024-02-24
374,16,roupas,592.98,2024-09-25
375,6,roupas,871.82,2024-06-22
376,15,alimentos,781.33,2024-02-09
377,33,eletronicos,535.3,2024-04-09
378,50,alimentos,357.59,2024-11-26
379,10,livros,111.78,2024-05-11
380,13,livros,606.37,2024-12-01
381,5,livros,951.78,2024-11-17
382,32,roupas,756.9,2024-10-23
383,29,servicos,646.56,2024-11-15
384,21,alimentos,159.45,2024-02-04
385,31,roupas,635.07,2024-05-20
386,38,eletronicos,358.42,2024-02-07
387,20,roupas,457.39,2024-01-30
388,24,alimentos,85.96,2024-02-16
389,40,servicos,512.0,2024-08-24
390,38,servicos,954.69,2024-01-22
391,29,servicos,655.32,2024-06-13
392,39,roupas,506.35,2024-02-01
393,29,eletronicos,812.86,2024-06-24
394,46,eletronicos,509.5,2024-03-29
395,3,livros,710.55,2024-08-12
396,34,servicos,613.71,2024-07-05
397,24,alimentos,393.54,2024-06-22
398,44,servicos,61.84,2024-11-19
399,42,alimentos,75.25,2024-02-18
400,36,roupas,291.31,2024-12-02
401,39,livros,340.03,2024-10-25
402,43,livros,917.58,2024-06-07
403,42,roupas,137.66,2024-12-28
404,6,alimentos,563.33,2024-11-25
405,22,livros,673.42,2024-12-16
406,34,eletronicos,649.56,2024-08-04
407,33,alimentos,28.05,2024-06-07
408,12,livros,348.32,2024-09-05
409,13,livros,999.98,2024-03-20
410,5,alimentos,845.98,2024-02-21
411,33,servicos,836.77,2024-09-26
412,3,alimentos,877.63,2024-11-12
413,9,servicos,382.95,2024-03-24
414,12,servicos,810.95,2024-03-25
415,47,roupas,53.26,2024-07-05
416,44,livros,969.89,2024-11-08
417,19,roupas,241.66,2024-05-02
418,20,roupas,904.93,2024-04-09
419,24,servicos,984.6,2024-08-24
420,50,alimentos,780.34,2024-09-14
421,34,roupas,966.61,2024-04-12
422,39,livros,874.27,2024-01-27
423,42,roupas,875.38,2024-10-10
424,7,servicos,852.65,2024-05-25
425,6,livros,280.06,2024-09-19
426,10,roupas,100.8,2024-04-23
427,29,alimentos,931.17,2024-07-31
428,4,roupas,506.99,2024-04-30
429,25,eletronicos,381.16,2024-01-15
430,21,eletronicos,840.78,2024-11-28
431,22,livros,146.22,2024-05-26
432,31,livros,761.25,2024-08-28
433,29,servicos,15.2,2024-02-10
434,2,alimentos,223.5,2024-03-17
435,36,servicos,532.49,2024-02-26
436,50,alimentos,245.26,2024-03-03
437,4,livros,425.63,2024-11-14
438,30,eletronicos,119.75,2024-09-12
439,39,servicos,26.27,2024-09-20
440,37,livros,721.36,2024-05-29
441,28,eletronicos,618.66,2024-05-03
442,37,roupas,195.44,2024-12-08
443,6,servicos,974.91,2024-02-04
444,34,servicos,512.25,2024-09-16
445,36,eletronicos,396.55,2024-08-28
446,3,roupas,981.23,2024-05-09
447,48,eletronicos,363.52,2024-02-04
448,23,livros,735.61,2024-11-17
449,7,servicos,737.84,2024-06-19
450,9,eletronicos,358.78,2024-06-22
451,42,livros,832.08,2024-12-16
452,30,roupas,635.42,2024-03-10
453,5,roupas,46.61,2024-04-13
454,3,livros,886.93,2024-06-10
455,20,servicos,404.24,2024-10-05
456,31,alimentos,46.25,2024-11-27
457,13,alimentos,363.4,2024-01-25
458,42,alimentos,280.48,2024-07-07
459,28,roupas,745.87,2024-07-16
460,22,livros,501.24,2024-09-11
461,24,servicos,274.05,2024-02-12
462,47,roupas,88.14,2024-11-04
463,12,servicos,300.83,2024-02-22
464,6,alimentos,664.31,2024-06-05
465,29,servicos,720.49,2024-03-26
466,45,roupas,358.03,2024-01-22
467,47,alimentos,618.7,2024-08-10
468,18,eletronicos,84.29,2024-11-22
469,26,alimentos,517.96,2024-12-13
470,11,eletronicos,151.35,2024-11-07
471,44,roupas,44.45,2024-02-04
472,16,alimentos,368.53,2024-10-17
473,3,servicos,161.9,2024-08-18
474,24,alimentos,449.5,2024-02-09
475,37,livros,534.17,2024-07-22
476,21,alimentos,257.12,2024-02-28
477,2,livros,504.05,2024-07-17
478,36,eletronicos,269.16,2024-05-13
479,46,roupas,222.42,2024-11-09
480,19,roupas,208.18,2024-03-10
481,5,roupas,180.93,2024-08-15
482,6,alimentos,671.16,2024-12-29
483,5,servicos,546.75,2024-06-02
484,11,livros,795.76,2024-09-17
485,15,eletronicos,985.28,2024-03-12
486,16,roupas,36.02,2024-10-10
487,37,alimentos,472.73,2024-10-09
488,9,servicos,885.4,2024-02-03
489,20,roupas,999.6,2024-09-02
490,34,roupas,771.47,2024-10-21
491,5,livros,972.66,2024-11-24
492,5,roupas,471.17,2024-09-21
493,23,livros,879.18,2024-10-09
494,41,servicos,190.14,2024-03-07
495,28,servicos,911.61,2024-01-29
496,8,servicos,161.49,2024-03-25
497,11,alimentos,935.39,2024-04-25
498,23,servicos,895.98,2024-02-10
499,17,livros,638.71,2024-10-09
500,18,livros,628.77,2024-11-10
501,35,eletronicos,507.55,2024-03-27
502,38,servicos,162.65,2024-12-03
503,40,servicos,344.24,2024-10-15
504,3,eletronicos,90.41,2024-11-24
505,50,servicos,272.01,2024-04-17
506,50,servicos,422.42,2024-11-23
507,2,roupas,890.11,2024-10-06
508,19,alimentos,488.12,2024-12-16
509,26,alimentos,459.01,2024-12-18
510,4,livros,445.21,2024-09-04
511,30,livros,346.79,2024-03-14
512,21,alimentos,736.86,2024-06-25
513,26,livros,763.06,2024-09-20
514,36,eletronicos,325.92,2024-08-26
515,8,alimentos,455.1,2024-03-13
516,7,eletronicos,297.31,2024-07-15
517,40,roupas,255.79,2024-03-22
518,21,servicos,723.92,2024-04-07
519,49,livros,503.28,2024-09-20
520,30,roupas,880.28,2024-09-11
521,2,eletronicos,945.78,2024-09-15
522,30,livros,222.99,2024-06-29
523,4,eletronicos,288.54,2024-11-01
524,42,roupas,292.89,2024-01-05
525,7,roupas,142.6,2024-05-15
526,47,alimentos,766.22,2024-07-06
527,3,roupas,60.65,2024-10-14
528,13,alimentos,557.69,2024-02-07
529,25,servicos,455.85,2024-10-08
530,18,servicos,683.59,2024-03-01
531,9,eletronicos,399.96,2024-06-22
532,36,alimentos,757.42,2024-04-11
533,39,servicos,407.37,2024-01-21
534,3,eletronicos,145.67,2024-06-19
535,31,servicos,462.42,2024-11-06
536,33,livros,334.69,2024-11-09
537,21,livros,399.03,2024-11-11
538,48,alimentos,597.79,2024-09-16
539,33,servicos,494.95,2024-10-15
540,20,roupas,817.59,2024-07-07
541,22,eletronicos,980.1,2024-10-25
542,20,eletronicos,600.94,2024-05-15
543,42,servicos,581.86,2024-01-27
544,38,roupas,178.81,2024-11-18
545,47,servicos,776.86,2024-07-13
546,10,livros,41.25,2024-12-24
547,8,livros,28.75,2024-06-09
548,27,livros,418.83,2024-04-14
549,27,servicos,777.22,2024-08-29
550,48,eletronicos,708.72,2024-09-22
551,14,servicos,331.8,2024-12-05
552,31,servicos,383.06,2024-03-29
553,30,servicos,348.9,2024-06-30
554,44,alimentos,613.98,2024-04-08
555,16,alimentos,562.51,2024-04-25
556,20,alimentos,707.85,2024-12-19
557,46,roupas,323.87,2024-06-27
558,36,alimentos,294.91,2024-10-20
559,44,servicos,385.9,2024-07-21
560,23,livros,297.55,2024-05-27
561,46,eletronicos,352.9,2024-08-14
562,42,alimentos,749.87,2024-04-19
563,13,servicos,278.42,2024-10-14
564,45,alimentos,145.9,2024-11-11
565,48,servicos,246.89,2024-01-26
566,43,servicos,233.41,2024-04-29
567,4,eletronicos,419.17,2024-08-29
568,7,livros,15.13,2024-10-08
569,11,roupas,656.36,2024-08-31
570,31,livros,758.35,2024-05-27
571,21,alimentos,649.44,2024-02-15
572,42,servicos,239.9,2024-01-20
573,12,roupas,883.42,2024-03-31
574,3,roupas,790.08,2024-04-05
575,48,alimentos,877.98,2024-01-05
576,20,servicos,606.76,2024-06-20
577,19,roupas,989.21,2024-10-05
578,34,roupas,890.37,2024-03-09
579,33,roupas,280.11,2024-02-27
580,22,livros,733.81,2024-11-27
581,17,livros,23.94,2024-06-21
582,19,servicos,677.66,2024-04-08
583,12,servicos,857.59,2024-07-26
584,28,servicos,334.65,2024-07-24
585,43,eletronicos,192.93,2024-03-12
586,31,alimentos,936.47,2024-01-04
587,17,roupas,243.17,2024-05-16
588,22,alimentos,586.64,2024-10-20
589,1,alimentos,657.15,2024-12-20
590,16,eletronicos,671.11,2024-08-26
591,20,livros,411.36,2024-09-14
592,46,alimentos,693.39,2024-11-23
593,19,alimentos,618.48,2024-04-22
594,9,roupas,161.65,2024-11-06
595,24,roupas,704.92,2024-08-29
596,49,servicos,803.98,2024-04-21
597,49,livros,683.54,2024-11-01
598,6,servicos,452.28,2024-12-26
599,24,eletronicos,918.07,2024-02-27
600,4,servicos,903.86,2024-04-13
601,37,servicos,158.35,2024-06-16
602,34,roupas,125.08,2024-04-15
603,46,servicos,493.94,2024-09-18
604,29,eletronicos,458.9,2024-09-19
605,27,roupas,568.27,2024-10-13
606,30,alimentos,726.05,2024-07-21
607,17,eletronicos,748.35,2024-10-23
608,5,eletronicos,429.46,2024-12-24
609,5,servicos,994.18,2024-02-05
610,31,eletronicos,294.22,2024-04-02
611,50,livros,768.17,2024-11-26
612,27,alimentos,992.93,2024-07-14
613,29,roupas,381.89,2024-12-15
614,43,servicos,141.66,2024-06-27
615,8,livros,992.92,2024-07-20
616,34,livros,730.58,2024-04-24
617,1,eletronicos,978.71,2024-08-25
618,44,servicos,429.89,2024-07-13
619,15,livros,466.02,2024-03-20
620,18,livros,938.04,2024-02-27
621,3,roupas,618.77,2024-01-09
622,16,livros,76.62,2024-10-31
623,3,roupas,601.81,2024-12-26
624,4,livros,743.14,2024-07-24
625,29,livros,544.36,2024-01-29
626,9,servicos,993.55,2024-04-29
627,47,servicos,325.71,2024-11-02
628,50,alimentos,244.53,2024-03-14
629,43,servicos,228.83,2024-06-02
630,18,eletronicos,561.15,2024-10-29
631,48,livros,629.73,2024-08-06
632,36,roupas,56.42,2024-06-25
633,42,roupas,787.95,2024-06-12
634,45,roupas,414.18,2024-06-02
635,25,livros,756.87,2024-08-30
636,16,livros,307.73,2024-12-28
637,10,roupas,915.59,2024-10-14
638,27,roupas,561.71,2024-03-09
639,25,livros,262.45,2024-06-18
640,42,eletronicos,923.0,2024-07-08
641,6,servicos,727.34,2024-04-07
642,4,alimentos,383.4,2024-11-05
643,39,eletronicos,874.88,2024-04-06
644,49,servicos,727.06,2024-10-13
645,14,roupas,216.8,2024-06-19
646,20,eletronicos,219.69,2024-04-07
647,48,eletronicos,749.41,2024-09-02
648,16,servicos,706.73,2024-07-22
649,16,servicos,328.4,2024-05-24
650,25,roupas,538.31,2024-07-02
651,20,alimentos,366.05,2024-09-11
652,30,eletronicos,804.79,2024-08-28
653,49,alimentos,915.19,2024-07-08
654,21,roupas,55.26,2024-04-23
655,48,livros,26.06,2024-10-10
656,38,servicos,722.81,2024-05-31
657,10,livros,336.57,2024-07-13
658,37,livros,504.31,2024-12-01
659,44,alimentos,264.75,2024-09-07
660,47,roupas,466.22,2024-06-29
661,11,livros,723.11,2024-09-07
662,12,servicos,990.42,2024-01-31
663,34,eletronicos,840.68,2024-02-08
664,43,eletronicos,766.7,2024-07-30
665,9,livros,77.29,2024-03-18
666,1,livros,510.68,2024-07-10
667,4,servicos,641.35,2024-11-11
668,31,roupas,25.57,2024-09-29
669,36,roupas,21.73,2024-09-28
670,47,alimentos,540.38,2024-05-26
671,2,servicos,815.03,2024-12-11
672,28,livros,115.95,2024-02-19
673,34,livros,248.56,2024-11-13
674,34,alimentos,817.06,2024-05-16
675,26,eletronicos,379.32,2024-07-26
676,30,servicos,250.78,2024-12-22
677,15,alimentos,687.2,2024-02-11
678,42,eletronicos,102.57,2024-07-13
679,25,servicos,481.25,2024-11-22
680,1,livros,91.86,2024-08-10
681,42,alimentos,570.2,2024-02-18
682,34,eletronicos,237.47,2024-12-20
683,37,roupas,278.38,2024-02-08
684,44,alimentos,900.32,2024-10-15
685,43,eletronicos,187.56,2024-06-10
686,2,livros,591.17,2024-12-30
687,26,eletronicos,306.28,2024-10-15
688,16,servicos,836.3,2024-07-18
689,44,servicos,338.41,2024-03-12
690,45,eletronicos,505.78,2024-06-26
691,4,eletronicos,442.72,2024-02-08
692,22,servicos,771.32,2024-10-31
693,26,alimentos,39.33,2024-05-19
694,29,roupas,235.86,2024-10-10
695,25,roupas,193.88,2024-10-26
696,43,roupas,94.84,2024-11-12
697,19,livros,715.98,2024-02-12
698,18,livros,386.2,2024-11-20
699,10,roupas,323.51,2024-02-24
700,6,eletronicos,943.53,2024-08-15
701,24,alimentos,111.21,2024-02-14
702,12,roupas,454.36,2024-10-11
703,33,roupas,112.26,2024-02-15
704,23,servicos,102.13,2024-11-02
705,21,roupas,22.22,2024-07-30
706,25,eletronicos,727.6,2024-10-13
707,16,servicos,525.89,2024-12-16
708,25,livros,147.45,2024-06-03
709,18,roupas,154.48,2024-03-26
710,28,alimentos,426.89,2024-09-04
711,5,alimentos,259.18,2024-05-06
712,47,roupas,597.87,2024-04-10
713,30,eletronicos,144.13,2024-01-04
714,26,alimentos,843.2,2024-07-13
715,22,roupas,341.39,2024-11-29
716,39,livros,307.43,2024-11-04
717,45,livros,484.22,2024-03-31
718,26,alimentos,298.53,2024-12-21
719,41,roupas,968.09,2024-05-04
720,21,roupas,287.5,2024-07-20
