id,valor
venda-0139,942.44
venda-0140,240.33
venda-0141,344.59
venda-0142,224.90
venda-0143,33.95
venda-0144,362.88
venda-0145,370.16
venda-0146,428.10
venda-0147,732.51
venda-0148,237.67
venda-0149,265.51
venda-0150,551.81
venda-0151,488.93
venda-0152,379.89
venda-0153,934.53
venda-0154,139.80
venda-0155,978.59
venda-0156,661.81
venda-0157,276.56
venda-0158,101.74
venda-0159,793.19
venda-0160,932.63
venda-0161,482.25
venda-0162,579.44
venda-0163,14.59
venda-0164,955.00
venda-0165,486.43
venda-0166,602.87
venda-0167,114.28
venda-0168,401.69
venda-0169,991.27
venda-0170,186.35
venda-0171,422.26
venda-0172,364.21
venda-0173,255.33
venda-0174,252.07
venda-0175,822.16
venda-0176,911.35
venda-0177,423.59
venda-0178,282.60
venda-0179,412.76
venda-0180,862.56
venda-0181,174.77
venda-0182,412.46
venda-0183,61.46
venda-0184,79.66
venda-0185,97.23
venda-0186,85.23
venda-0187,966.43
venda-0188,698.14
venda-0189,539.14
venda-0190,806.36
venda-0191,961.10
venda-0192,930.95
venda-0193,495.83
venda-0194,982.54
venda-0195,524.76
venda-0196,50.04
venda-0197,647.37
venda-0198,746.47
venda-0199,383.16
venda-0200,444.63
venda-0201,342.90
venda-0202,626.82
venda-0203,916.04
venda-0204,493.40
venda-0205,162.68
venda-0206,291.79
venda-0207,495.80
venda-0208,608.96
venda-0209,540.69
venda-0210,194.34
venda-0211,565.12
venda-0212,521.32
venda-0213,835.10
venda-0214,375.75
venda-0215,130.11
venda-0216,863.92
venda-0217,140.67
venda-0218,68.45
venda-0219,745.13
venda-0220,511.63
venda-0221,851.62
venda-0222,804.50
venda-0223,439.39
venda-0224,734.43
venda-0225,577.38
venda-0226,704.67
venda-0227,433.54
venda-0228,529.52
venda-0229,693.91
venda-0230,730.75
venda-0231,416.79
venda-0232,336.23
venda-0233,959.79
venda-0234,436.06
venda-0235,165.23
venda-0236,973.00
venda-0237,705.18
venda-0238,768.14
venda-0239,51.95
venda-0240,906.30
venda-0241,287.57
venda-0242,112.81
venda-0243,852.22
venda-0244,279.77
venda-0245,486.37
venda-0246,771.50
venda-0247,309.84
venda-0248,310.45
venda-0249,967.87
venda-0250,528.50
venda-0251,555.48
venda-0252,798.61
venda-0253,889.37
venda-0254,900.88
venda-0255,286.19
venda-0256,987.34
venda-0257,423.76
venda-0258,60.38
venda-0259,420.08
venda-0260,837.74
venda-0261,74.90
venda-0262,32.14
venda-0263,428.79
venda-0264,511.93
venda-0265,331.98
venda-0266,248.90
venda-0267,65.94
venda-0268,895.48
venda-0269,205.62
venda-0270,613.22
venda-0271,517.75
venda-0272,275.45
venda-0273,145.54
venda-0274,905.60
venda-0275,175.92
venda-0276,839.42
venda-0277,883.44
venda-0278,896.76
venda-0279,480.39
venda-0280,345.07
venda-0281,885.39
venda-0282,115.06
venda-0283,962.93
venda-0284,449.32
venda-0285,623.88
venda-0286,80.14
venda-0287,227.61
venda-0288,875.10
venda-0289,410.03
venda-0290,974.05
venda-0291,214.22
venda-0292,767.27
venda-0293,537.91
venda-0294,718.03
venda-0295,514.02
venda-0296,976.75
venda-0297,423.46
venda-0298,761.68
venda-0299,817.33
venda-0300,831.14
venda-0301,60.38
venda-0302,68.40
venda-0303,211.71
venda-0304,239.79
venda-0305,566.39
venda-0306,888.38
venda-0307,877.18
venda-0308,612.32
venda-0309,154.09
venda-0310,823.32
venda-0311,567.61
venda-0312,71.04
venda-0313,807.92
venda-0314,669.04
venda-0315,268.76
venda-0316,72.39
venda-0317,26.30
venda-0318,169.02
venda-0319,563.35
venda-0320,963.04
venda-0321,417.39
venda-0322,474.93
venda-0323,89.31
venda-0324,327.66
venda-0325,310.80
venda-0326,78.04
venda-0327,236.81
venda-0328,446.30
venda-0329,601.57
venda-0330,863.30
venda-0331,928.07
venda-0332,526.14
venda-0333,309.33
venda-0334,581.16
venda-0335,751.30
venda-0336,716.15
venda-0337,283.80
venda-0338,89.55
venda-0339,914.93
venda-0340,417.36
venda-0341,153.27
venda-0342,781.57
venda-0343,94.56
venda-0344,893.73
venda-0345,927.49
venda-0346,764.20
venda-0347,932.91
venda-0348,234.80
venda-0349,749.85
venda-0350,204.47
venda-0351,652.62
venda-0352,725.55
venda-0353,233.37
venda-0354,523.01
venda-0355,274.89
venda-0356,899.13
venda-0357,454.11
venda-0358,660.91
venda-0359,295.60
venda-0360,977.46
venda-0361,854.65
venda-0362,928.11
venda-0363,215.80
venda-0364,946.13
venda-0365,60.17
venda-0366,324.88
venda-0367,481.08
venda-0368,769.73
venda-0369,423.60
venda-0370,13.64
venda-0371,575.09
venda-0372,382.89
venda-0373,542.78
venda-0374,278.35
venda-0375,599.41
venda-0376,928.13
venda-0377,861.78
venda-0378,782.53
venda-0379,867.56
venda-0380,487.40
venda-0381,469.74
venda-0382,368.35
venda-0383,296.78
venda-0384,743.03
venda-0385,56.73
venda-0386,760.69
venda-0387,877.10
venda-0388,773.90
venda-0389,72.22
venda-0390,454.56
venda-0391,600.76
venda-0392,454.08
venda-0393,61.37
venda-0394,965.42
venda-0395,347.49
venda-0396,806.92
venda-0397,762.66
venda-0398,808.68
venda-0399,198.44
venda-0400,227.45
venda-0401,648.25
venda-0402,143.08
venda-0403,702.78
venda-0404,668.98
venda-0405,707.38
venda-0406,665.11
venda-0407,170.67
venda-0408,221.94
venda-0409,732.70
venda-0410,374.81
venda-0411,398.47
venda-0412,138.52
venda-0413,785.49
venda-0414,940.06
venda-0415,372.00
venda-0416,25.32
venda-0417,499.88
venda-0418,272.40
venda-0419,118.47
venda-0420,202.87
venda-0421,815.42
venda-0422,986.58
venda-0423,925.93
venda-0424,845.59
venda-0425,133.37
venda-0426,506.96
venda-0427,255.24
venda-0428,124.37
venda-0429,271.85
venda-0430,61.31
venda-0431,542.68
venda-0432,62.23
venda-0433,598.39
venda-0434,819.28
venda-0435,698.27
venda-0436,154.89
venda-0437,529.77
venda-0438,438.93
venda-0439,702.85
venda-0440,202.76
venda-0441,793.52
venda-0442,185.85
venda-0443,708.70
venda-0444,255.03
venda-0445,897.10
venda-0446,673.73
venda-0447,41.81
venda-0448,714.46
venda-0449,174.57
venda-0450,627.10
venda-0451,791.61
venda-0452,555.36
venda-0453,580.25
venda-0454,365.66
venda-0455,316.06
venda-0456,39.28
venda-0457,770.19
venda-0458,589.06
venda-0459,766.41
venda-0460,254.01
venda-0461,945.17
venda-0462,981.52
venda-0463,131.27
venda-0464,874.84
venda-0465,317.49
venda-0466,730.98
venda-0467,866.35
venda-0468,891.05
venda-0469,560.73
venda-0470,477.34
venda-0471,220.95
venda-0472,260.51
venda-0473,135.59
venda-0474,403.03
venda-0475,594.55
venda-0476,353.48
venda-0477,710.16
venda-0478,353.60
venda-0479,301.16
venda-0480,434.19
venda-0481,809.56
venda-0482,194.30
venda-0483,356.91
venda-0484,12.11
venda-0485,849.22
venda-0486,370.71
venda-0487,988.97
venda-0488,206.13
venda-0489,604.70
venda-0490,28.93
venda-0491,748.15
venda-0492,453.65
venda-0493,320.45
venda-0494,99.65
venda-0495,109.33
venda-0496,695.41
venda-0497,541.33
venda-0498,974.76
venda-0499,433.85
venda-0500,236.03
venda-0501,624.08
venda-0502,812.52
venda-0503,818.71
venda-0504,565.28
venda-0505,868.15
venda-0506,385.33
venda-0507,259.02
venda-0508,21.47
venda-0509,342.04
venda-0510,719.58
venda-0511,428.33
venda-0512,483.13
venda-0513,807.33
venda-0514,743.54
venda-0515,286.16
venda-0516,286.64
venda-0517,633.03
venda-0518,702.20
venda-0519,301.03
venda-0520,981.13
venda-0521,445.84
venda-0522,478.64
venda-0523,177.57
venda-0524,890.60
venda-0525,156.08
venda-0526,202.48
venda-0527,430.45
venda-0528,231.69
venda-0529,313.85
venda-0530,91.48
venda-0531,456.47
venda-0532,723.44
venda-0533,201.01
venda-0534,468.71
venda-0535,358.03
venda-0536,373.64
venda-0537,792.96
venda-0538,173.46
venda-0539,848.44
venda-0540,544.52
venda-0541,232.70
venda-0542,348.37
venda-0543,281.14
venda-0544,280.78
venda-0545,460.77
venda-0546,194.51
venda-0547,23.41
venda-0548,816.20
venda-0549,732.09
venda-0550,326.91
venda-0551,186.99
venda-0552,373.91
venda-0553,172.17
venda-0554,835.43
venda-0555,928.81
venda-0556,224.56
venda-0557,793.86
venda-0558,43.07
venda-0559,13.56
venda-0560,885.85
venda-0561,802.72
venda-0562,259.63
venda-0563,528.92
venda-0564,301.10
venda-0565,674.81
venda-0566,41.96
venda-0567,713.87
venda-0568,527.46
venda-0569,77.95
venda-0570,983.60
venda-0571,607.69
venda-0572,329.80
venda-0573,640.39
venda-0574,776.22
venda-0575,395.53
venda-0576,269.16
venda-0577,801.77
venda-0578,224.20
venda-0579,911.97
venda-0580,792.08
venda-0581,199.02
venda-0582,785.66
venda-0583,215.24
venda-0584,196.34
venda-0585,602.79
venda-0586,456.91
venda-0587,187.26
venda-0588,396.66
venda-0589,586.58
venda-0590,144.74
venda-0591,376.21
venda-0592,808.29
venda-0593,271.05
venda-0594,895.16
venda-0595,595.10
venda-0596,699.43
venda-0597,854.47
venda-0598,530.54
venda-0599,700.44
venda-0600,215.81
venda-0601,799.39
venda-0602,382.35
venda-0603,73.53
venda-0604,606.65
venda-0605,536.15
venda-0606,448.40
venda-0607,792.27
venda-0608,638.40
venda-0609,64.03
venda-0610,999.03
venda-0611,883.93
venda-0612,106.72
venda-0613,443.33
venda-0614,645.24
venda-0615,360.26
venda-0616,604.09
venda-0617,227.91
venda-0618,908.19
venda-0619,281.02
venda-0620,55.39
venda-0621,943.40
venda-0622,809.32
venda-0623,705.83
venda-0624,811.55
venda-0625,353.55
venda-0626,170.74
venda-0627,459.57
venda-0628,752.51
venda-0629,166.63
venda-0630,390.94
venda-0631,544.94
venda-0632,815.96
venda-0633,937.96
venda-0634,639.40
venda-0635,789.94
venda-0636,623.16
venda-0637,539.94
venda-0638,661.29
venda-0639,760.41
venda-0640,786.78
venda-0641,426.75
venda-0642,511.70
venda-0643,698.01
venda-0644,529.54
venda-0645,330.97
venda-0646,204.03
venda-0647,160.69
venda-0648,611.42
venda-0649,649.63
venda-0650,981.38
venda-0651,361.33
venda-0652,523.83
venda-0653,585.08
venda-0654,783.76
venda-0655,536.12
venda-0656,923.95
venda-0657,567.26
venda-0658,514.94
venda-0659,672.90
venda-0660,419.59
venda-0661,349.91
venda-0662,439.42
venda-0663,761.54
venda-0664,830.02
venda-0665,578.50
venda-0666,983.90
venda-0667,373.67
venda-0668,322.20
venda-0669,538.19
venda-0670,881.11
venda-0671,768.98
venda-0672,820.25
venda-0673,473.52
venda-0674,782.03
venda-0675,501.23
venda-0676,371.99
venda-0677,295.05
venda-0678,265.30
venda-0679,521.56
venda-0680,515.76
venda-0681,970.68
venda-0682,867.52
venda-0683,670.65
venda-0684,850.27
venda-0685,55.23
venda-0686,270.31
venda-0687,189.39
venda-0688,31.90
venda-0689,695.95
venda-0690,533.83
venda-0691,232.17
venda-0692,853.98
venda-0693,747.91
venda-0694,811.99
venda-0695,619.59
venda-0696,566.07
venda-0697,217.32
venda-0698,555.80
venda-0699,902.32
venda-0700,237.95
venda-0701,618.86
venda-0702,530.36
venda-0703,602.79
venda-0704,941.83
venda-0705,74.78
venda-0706,10.66
venda-0707,850.46
venda-0708,674.41
venda-0709,840.55
venda-0710,777.24
venda-0711,896.56
venda-0712,83.75
venda-0713,801.00
venda-0714,908.77
venda-0715,638.38
venda-0716,746.55
venda-0717,446.25
venda-0718,553.38
venda-0719,301.71
venda-0720,701.30
venda-0721,261.71
venda-0722,144.57
venda-0723,439.82
venda-0724,96.81
venda-0725,148.71
venda-0726,678.38
venda-0727,404.81
venda-0728,395.08
venda-0729,980.63
venda-0730,519.09
venda-0731,251.08
venda-0732,662.42
venda-0733,786.67
venda-0734,485.16
venda-0735,189.65
venda-0736,580.67
venda-0737,459.60
venda-0738,534.37
venda-0739,164.47
venda-0740,601.40
venda-0741,217.86
venda-0742,181.68
venda-0743,747.04
venda-0744,73.71
venda-0745,506.87
venda-0746,817.05
venda-0747,147.26
venda-0748,475.66
venda-0749,808.57
venda-0750,227.98
venda-0751,46.95
venda-0752,731.41
venda-0753,823.17
venda-0754,950.65
venda-0755,47.98
venda-0756,445.02
venda-0757,413.63
venda-0758,324.00
venda-0759,642.85
venda-0760,913.84
venda-0761,625.42
venda-0762,118.38
venda-0763,90.61
venda-0764,988.75
venda-0765,694.62
venda-0766,98.85
venda-0767,813.93
venda-0768,699.47
venda-0769,255.58
venda-0770,598.85
venda-0771,880.08
venda-0772,470.55
venda-0773,141.78
venda-0774,786.76
venda-0775,310.95
venda-0776,580.18
venda-0777,761.13
venda-0778,213.22
venda-0779,961.67
venda-0780,737.50
venda-0781,255.31
venda-0782,864.81
venda-0783,520.15
venda-0784,876.54
venda-0785,11.95
venda-0786,894.54
venda-0787,937.54
venda-0788,768.14
venda-0789,431.83
venda-0790,247.10
venda-0791,785.60
venda-0792,674.93
venda-0793,365.50
venda-0794,662.65
venda-0795,159.03
venda-0796,364.17
venda-0797,877.09
venda-0798,407.12
venda-0799,488.52
venda-0800,674.12
venda-0801,81.03
venda-0802,285.62
venda-0803,717.96
venda-0804,93.03
venda-0805,800.75
venda-0806,963.54
venda-0807,299.46
venda-0808,379.53
venda-0809,555.80
venda-0810,206.12
venda-0811,536.04
venda-0812,341.85
venda-0813,598.40
venda-0814,628.90
venda-0815,49.83
venda-0816,270.81
venda-0817,129.04
venda-0818,19.96
venda-0819,102.15
venda-0820,598.64
venda-0821,486.39
venda-0822,583.67
venda-0823,184.27
venda-0824,604.13
venda-0825,527.31
venda-0826,780.66
venda-0827,287.71
venda-0828,268.91
venda-0829,811.49
venda-0830,391.89
venda-0831,843.41
venda-0832,204.31
venda-0833,131.33
venda-0834,784.56
venda-0835,257.22
venda-0836,974.25
venda-0837,611.06
venda-0838,217.81
venda-0839,156.53
venda-0840,750.40
venda-0841,536.63
venda-0842,678.05
venda-0843,717.71
venda-0844,190.50
venda-0845,593.55
venda-0846,729.72
venda-0847,772.62
venda-0848,156.81
venda-0849,353.03
venda-0850,341.92
venda-0851,281.00
venda-0852,559.20
venda-0853,851.23
venda-0854,523.83
venda-0855,343.34
venda-0856,140.52
venda-0857,718.89
venda-0858,769.60
venda-0859,53.63
venda-0860,705.76
venda-0861,226.83
venda-0862,615.19
venda-0863,626.85
venda-0864,232.76
venda-0865,448.38
venda-0866,994.00
venda-0867,846.81
venda-0868,788.73
venda-0869,414.41
venda-0870,693.44
venda-0871,936.91
venda-0872,922.41
venda-0873,741.25
venda-0874,834.85
venda-0875,174.90
venda-0876,995.46
venda-0877,479.66
venda-0878,471.74
venda-0879,20.52
venda-0880,378.49
venda-0881,95.58
venda-0882,455.50
venda-0883,775.63
venda-0884,789.27
venda-0885,984.11
venda-0886,854.38
venda-0887,187.29
venda-0888,558.73
venda-0889,659.96
venda-0890,715.63
venda-0891,490.84
venda-0892,661.35
venda-0893,29.18
venda-0894,295.46
venda-0895,826.52
venda-0896,551.53
venda-0897,789.55
venda-0898,414.80
venda-0899,960.26
venda-0900,392.11
venda-0901,164.39
venda-0902,452.01
venda-0903,939.00
venda-0904,146.84
venda-0905,53.17
venda-0906,45.60
venda-0907,493.96
venda-0908,478.98
venda-0909,31.75
venda-0910,323.70
venda-0911,410.04
venda-0912,385.94
venda-0913,72.01
venda-0914,882.54
venda-0915,228.52
venda-0916,34.02
venda-0917,511.98
venda-0918,934.58
venda-0919,623.95
venda-0920,638.42
venda-0921,95.24
venda-0922,204.89
venda-0923,757.73
venda-0924,860.27
venda-0925,106.79
venda-0926,805.66
venda-0927,126.14
venda-0928,156.66
venda-0929,918.17
venda-0930,725.20
venda-0931,487.63
venda-0932,735.30
venda-0933,771.92
venda-0934,118.74
venda-0935,499.96
venda-0936,29.10
venda-0937,193.66
venda-0938,351.79
venda-0939,772.99
venda-0940,563.12
venda-0941,206.07
venda-0942,164.04
venda-0943,539.72
venda-0944,948.63
venda-0945,519.29
venda-0946,192.21
venda-0947,212.83
venda-0948,620.03
venda-0949,212.14
venda-0950,410.82
venda-0951,678.10
venda-0952,78.53
venda-0953,578.57
venda-0954,362.10
venda-0955,545.84
venda-0956,458.42
venda-0957,177.60
venda-0958,347.98
venda-0959,590.70
venda-0960,762.68
venda-0961,275.23
venda-0962,618.81
venda-0963,480.08
venda-0964,297.67
venda-0965,399.00
venda-0966,486.21
venda-0967,767.59
venda-0968,474.32
venda-0969,11.12
venda-0970,482.92
venda-0971,486.37
venda-0972,288.83
venda-0973,325.97
venda-0974,844.69
venda-0975,710.34
venda-0976,966.30
venda-0977,596.61
venda-0978,649.38
venda-0979,862.99
venda-0980,775.48
venda-0981,190.09
venda-0982,216.76
venda-0983,834.59
venda-0984,412.89
venda-0985,876.91
venda-0986,104.70
venda-0987,861.24
venda-0988,858.17
venda-0989,388.36
venda-0990,84.07
venda-0991,184.28
venda-0992,49.35
venda-0993,421.45
venda-0994,789.87
venda-0995,975.21
venda-0996,712.26
venda-0997,787.32
venda-0998,72.95
venda-0999,299.94
venda-1000,610.78
venda-1001,449.18
venda-1002,776.06
venda-1003,816.82
venda-1004,853.43
venda-1005,508.27
venda-1006,451.17
venda-1007,355.27
venda-1008,625.37
venda-1009,539.96
venda-1010,530.01
venda-1011,992.26
venda-1012,505.18
venda-1013,256.95
venda-1014,537.41
venda-1015,774.62
venda-1016,430.24
venda-1017,951.70
venda-1018,414.07
venda-1019,705.93
venda-1020,197.30
venda-1021,747.52
venda-1022,45.93
venda-1023,820.99
venda-1024,958.31
venda-1025,400.64
venda-1026,818.42
venda-1027,769.55
venda-1028,314.85
venda-1029,294.90
venda-1030,173.20
venda-1031,487.09
venda-1032,154.23
venda-1033,828.95
venda-1034,254.72
venda-1035,573.73
venda-1036,392.94
venda-1037,254.18
venda-1038,753.81
venda-1039,535.56
venda-1040,742.66
venda-1041,176.91
venda-1042,61.66
venda-1043,973.65
venda-1044,723.24
venda-1045,374.22
venda-1046,236.55
venda-1047,880.30
venda-1048,818.88
venda-1049,738.21
venda-1050,574.20
venda-1051,508.34
venda-1052,10.99
venda-1053,213.62
venda-1054,180.55
venda-1055,105.96
venda-1056,804.92
venda-1057,711.84
venda-1058,743.07
venda-1059,331.94
venda-1060,29.36
venda-1061,279.68
venda-1062,570.73
venda-1063,803.18
venda-1064,464.39
venda-1065,545.33
venda-1066,627.63
venda-1067,882.52
venda-1068,501.44
venda-1069,516.01
venda-1070,301.09
venda-1071,969.22
venda-1072,456.70
venda-1073,572.77
venda-1074,138.04
venda-1075,150.64
venda-1076,181.18
venda-1077,409.07
venda-1078,874.13
venda-1079,427.36
venda-1080,671.23
venda-1081,647.49
venda-1082,896.24
venda-1083,717.82
venda-1084,527.56
venda-1085,884.59
venda-1086,170.20
venda-1087,990.04
venda-1088,680.23
venda-1089,589.69
venda-1090,358.35
venda-1091,207.55
venda-1092,954.98
venda-1093,662.04
venda-1094,955.16
venda-1095,539.33
venda-1096,354.93
venda-1097,200.98
venda-1098,769.34
venda-1099,725.51
venda-1100,922.82
venda-1101,398.52
venda-1102,245.03
venda-1103,947.40
venda-1104,449.08
venda-1105,27.32
venda-1106,101.35
venda-1107,627.43
venda-1108,115.63
venda-1109,676.82
venda-1110,181.97
venda-1111,611.23
venda-1112,520.87
venda-1113,940.93
venda-1114,82.81
venda-1115,368.85
venda-1116,584.44
venda-1117,491.90
venda-1118,771.84
venda-1119,731.63
venda-1120,964.25
venda-1121,107.44
venda-1122,513.94
venda-1123,328.66
venda-1124,764.05
venda-1125,584.21
venda-1126,555.94
venda-1127,857.34
venda-1128,190.20
venda-1129,723.08
venda-1130,884.10
venda-1131,847.12
venda-1132,961.64
venda-1133,324.30
venda-1134,474.40
venda-1135,841.64
venda-1136,189.21
venda-1137,29.43
venda-1138,167.71
venda-1139,91.63
venda-1140,930.64
venda-1141,317.01
venda-1142,883.18
venda-1143,969.48
venda-1144,415.63
venda-1145,18.94
venda-1146,25.40
venda-1147,603.47
venda-1148,480.55
venda-1149,777.53
venda-1150,702.47
venda-1151,622.93
venda-1152,923.73
venda-1153,74.55
venda-1154,79.56
venda-1155,501.79
venda-1156,652.81
venda-1157,528.90
venda-1158,549.02
venda-1159,767.37
venda-1160,519.08
venda-1161,371.02
venda-1162,350.84
venda-1163,696.65
venda-1164,254.85
venda-1165,602.88
venda-1166,17.84
venda-1167,420.61
venda-1168,829.99
venda-1169,853.15
venda-1170,615.26
venda-1171,123.91
venda-1172,981.69
venda-1173,853.33
venda-1174,781.72
venda-1175,814.46
venda-1176,821.54
venda-1177,553.03
venda-1178,707.71
venda-1179,565.11
venda-1180,602.81
venda-1181,732.61
venda-1182,135.39
venda-1183,285.49
venda-1184,704.79
venda-1185,181.58
venda-1186,497.68
venda-1187,425.66
venda-1188,546.61
venda-1189,27.77
venda-1190,197.76
venda-1191,999.44
venda-1192,785.74
venda-1193,927.89
venda-1194,974.91
venda-1195,383.75
venda-1196,431.56
venda-1197,769.88
venda-1198,733.04
venda-1199,756.45
venda-1200,161.55
venda-1201,954.33
venda-1202,690.35
venda-1203,654.59
venda-1204,93.34
venda-1205,421.92
venda-1206,682.70
venda-1207,573.35
venda-1208,977.65
venda-1209,126.00
venda-1210,132.53
venda-1211,406.21
venda-1212,28.35
venda-1213,382.84
venda-1214,912.78
venda-1215,503.40
venda-1216,802.19
venda-1217,104.07
venda-1218,173.08
venda-1219,565.60
venda-1220,445.95
venda-1221,230.47
venda-1222,766.49
venda-1223,567.85
venda-1224,848.65
venda-1225,383.73
venda-1226,170.19
venda-1227,37.11
venda-1228,722.95
venda-1229,267.78
venda-1230,371.22
venda-1231,363.02
venda-1232,898.16
venda-1233,830.92
venda-1234,759.18
venda-1235,411.94
venda-1236,744.26
venda-1237,733.67
venda-1238,584.03
venda-1239,248.82
venda-1240,440.86
venda-1241,600.31
venda-1242,303.07
venda-1243,627.61
venda-1244,35.25
venda-1245,185.56
venda-1246,329.16
venda-1247,330.62
venda-1248,791.81
venda-1249,47.85
venda-1250,76.18
venda-1251,347.58
venda-1252,798.03
venda-1253,264.46
venda-1254,589.63
venda-1255,416.46
venda-1256,711.39
venda-1257,835.08
venda-1258,911.58
venda-1259,692.22
venda-1260,596.18
venda-1261,719.19
venda-1262,707.20
venda-1263,896.81
venda-1264,456.77
venda-1265,34.34
venda-1266,700.85
venda-1267,823.77
venda-1268,236.94
venda-1269,238.22
venda-1270,21.54
venda-1271,550.74
venda-1272,176.37
venda-1273,867.62
venda-1274,483.43
venda-1275,69.25
venda-1276,57.21
venda-1277,988.04
venda-1278,745.92
venda-1279,910.05
venda-1280,853.93
venda-1281,509.31
venda-1282,599.52
venda-1283,107.75
venda-1284,792.95
venda-1285,987.75
venda-1286,259.22
venda-1287,514.66
venda-1288,609.36
venda-1289,684.12
venda-1290,215.56
venda-1291,767.77
venda-1292,885.49
venda-1293,328.37
venda-1294,20.11
venda-1295,673.73
venda-1296,962.28
venda-1297,403.55
venda-1298,827.92
venda-1299,363.29
venda-1300,344.01
venda-1301,220.99
venda-1302,821.88
venda-1303,985.84
venda-1304,643.19
venda-1305,22.43
venda-1306,32.34
venda-1307,940.58
venda-1308,674.74
venda-1309,100.35
venda-1310,91.94
venda-1311,860.64
venda-1312,979.89
venda-1313,312.15
venda-1314,687.14
venda-1315,55.46
venda-1316,736.63
venda-1317,922.85
venda-1318,278.83
venda-1319,887.43
venda-1320,750.99
venda-1321,557.13
venda-1322,673.24
venda-1323,582.53
venda-1324,776.05
venda-1325,385.47
venda-1326,379.26
venda-1327,290.98
venda-1328,788.79
venda-1329,260.80
venda-1330,600.24
venda-1331,269.80
venda-1332,371.03
venda-1333,426.79
venda-1334,545.55
venda-1335,633.32
venda-1336,744.13
venda-1337,948.74
venda-1338,519.67
venda-1339,651.76
venda-1340,563.82
venda-1341,97.99
venda-1342,546.05
venda-1343,865.42
venda-1344,456.95
venda-1345,597.95
venda-1346,70.78
venda-1347,864.75
venda-1348,953.39
venda-1349,105.82
venda-1350,812.25
venda-1351,324.59
venda-1352,908.54
venda-1353,651.73
venda-1354,182.79
venda-1355,534.27
venda-1356,122.87
venda-1357,278.43
venda-1358,705.23
venda-1359,809.54
venda-1360,674.52
venda-1361,905.26
venda-1362,480.51
venda-1363,763.12
venda-1364,308.71
venda-1365,656.03
venda-1366,792.78
venda-1367,829.48
venda-1368,126.81
venda-1369,985.33
venda-1370,131.50
venda-1371,358.01
venda-1372,24.18
venda-1373,207.57
venda-1374,103.71
venda-1375,417.73
venda-1376,308.35
venda-1377,28.72
venda-1378,578.73
venda-1379,130.19
venda-1380,640.70
venda-1381,289.23
venda-1382,983.89
venda-1383,646.08
venda-1384,756.03
venda-1385,766.16
venda-1386,993.14
venda-1387,712.93
venda-1388,514.94
venda-1389,393.50
venda-1390,539.99
venda-1391,159.10
venda-1392,71.57
venda-1393,631.92
venda-1394,194.30
venda-1395,975.97
venda-1396,925.84
venda-1397,832.68
venda-1398,575.08
venda-1399,727.20
